,blast_id,user_id,date,video,sport,action_type,gender,equipment,thumb,handedness,is_air_swing,back_stroke_time,forward_stroke_time,total_stroke_time,tempo,impact_stroke_speed,back_stroke_length,loft_change,backstroke_rotation,forward_stroke_rotation,face_angle_at_impact,lie_change
0,69c7381e-7c66-4722-9cea-9e99054faef5,529228,"February 26, 2026 / 12:25pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.30,0.90,2.0,2.2,5.8,1.1,2.5,2.1,0.4,-1.1
1,70e00718-909a-44fa-bccd-703c0a916cae,529228,"February 26, 2026 / 12:24pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.30,0.85,1.9,2.5,6.2,1.3,2.5,2.3,0.2,-1.8
2,726b3c2a-295b-45f5-9fcc-08e289252919,529228,"February 26, 2026 / 12:24pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.31,0.89,1.9,2.4,6.0,1.5,2.8,2.3,0.5,-1.9
3,f4078e85-a535-4834-884a-c8873fd75edf,529228,"February 26, 2026 / 12:24pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.53,0.31,0.83,1.7,2.4,6.1,1.1,3.0,2.6,0.4,-1.6
4,31431860-5cfe-483f-aab5-5c6841da7363,529228,"February 26, 2026 / 12:24pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.54,0.30,0.84,1.8,2.4,5.8,1.4,2.7,1.9,0.8,-2.1
5,f6ef9e57-8fbb-4803-b98d-9313390e2892,529228,"February 26, 2026 / 12:23pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.32,0.90,1.8,2.0,5.9,1.0,3.2,3.3,-0.1,-1.7
6,5e396b8f-371e-4919-aa8b-c46e2e90b590,529228,"February 26, 2026 / 12:23pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.53,0.31,0.84,1.7,2.3,6.0,1.8,2.8,2.7,0.1,-1.5
7,a095d0d1-4ed6-4efa-af2d-0148b67ea45d,529228,"February 26, 2026 / 12:23pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.32,0.86,1.7,2.2,5.7,1.3,2.5,3.7,-1.2,-1.9
8,6e889cc0-2dce-4857-b696-0494dac88c66,529228,"February 26, 2026 / 12:22pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.52,0.33,0.84,1.6,2.1,5.4,1.8,2.9,3.4,-0.5,-1.7
9,403dabed-c1df-42d2-ba26-6e5e41a145d5,529228,"February 26, 2026 / 12:22pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.32,0.86,1.7,2.1,5.4,1.8,2.7,3.0,-0.3,-1.9
10,231596a3-7b7c-49a5-a7d9-0731d18b118e,529228,"February 26, 2026 / 12:22pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.28,0.89,2.2,2.1,5.8,0.1,3.4,2.6,0.9,-1.0
11,c3dd0c96-ac5a-4bce-a5b2-fba8e505e4b3,529228,"February 26, 2026 / 12:21pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.30,0.90,2.0,2.2,6.3,0.7,3.7,3.0,0.6,-1.0
12,0a89f21c-9101-46f2-b3df-41d69415ec73,529228,"February 26, 2026 / 12:21pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.28,0.87,2.1,2.1,5.5,0.3,2.5,2.2,0.3,-0.9
13,be6b6f72-f9f3-4cbe-bb3d-8c18671259a0,529228,"February 26, 2026 / 12:21pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.30,0.90,2.0,2.2,6.2,0.7,3.0,2.8,0.2,-1.2
14,a7a5f826-f061-4890-8f03-3b8999607074,529228,"February 26, 2026 / 12:21pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.54,0.28,0.82,1.9,2.2,5.5,0.7,2.9,3.6,-0.7,-0.7
15,0d0288e9-4ae0-4dac-bfed-b938fec369ba,529228,"February 26, 2026 / 12:20pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.30,0.85,1.8,2.4,6.0,1.2,3.1,3.1,0.0,-1.0
